transaction_id,user_id,service_id,charity_id,amount,transaction_type_id,date_id
1,9,17,11,786.63,3,254
2,30,22,4,101.68,1,195
3,13,22,17,320.99,2,310
4,38,14,2,902.66,2,326
5,11,27,19,118.71,2,70
6,20,6,19,995.43,3,47
7,35,30,12,428.48,1,136
8,37,17,14,445.68,3,365
9,14,9,17,329.33,3,202
10,47,11,5,671.41,1,99
11,22,15,7,767.55,2,316
12,2,25,16,591.32,2,10
13,34,24,5,701.83,4,203
14,43,12,2,475.19,2,356
15,50,21,10,577.69,1,250
16,15,17,17,647.67,2,183
17,27,16,18,127.07,1,13
18,1,7,16,964.5,1,276
19,27,10,12,939.79,3,46
20,50,2,16,307.52,4,363
21,13,4,1,51.65,4,84
22,44,6,2,737.96,2,153
23,45,4,13,368.86,3,139
24,42,12,18,943.26,4,178
25,6,13,7,486.13,3,229
26,4,19,16,852.06,3,43
27,28,23,7,170.23,3,214
28,12,14,7,546.19,3,337
29,3,28,1,90.59,4,80
30,32,9,10,798.63,1,308
31,19,11,1,815.51,2,161
32,7,16,9,618.31,2,292
33,39,14,13,517.07,3,230
34,37,15,1,343.13,3,64
35,22,4,4,660.04,4,93
36,44,8,9,325.26,3,24
37,8,29,9,822.55,4,324
38,21,14,4,516.15,2,60
39,41,29,7,159.59,2,130
40,1,8,6,100.36,2,196
41,29,24,17,641.92,4,327
42,13,29,19,52.3,1,286
43,23,8,18,874.26,1,321
44,42,8,18,971.53,4,330
45,48,12,14,860.12,4,193
46,37,6,9,358.97,4,145
47,28,17,17,790.87,2,303
48,45,12,15,168.27,3,237
49,29,4,18,589.56,1,229
50,48,30,4,272.38,4,312
51,44,3,1,486.46,4,209
52,11,20,2,956.64,3,160
53,14,7,18,815.51,4,232
54,2,18,3,562.57,3,364
55,13,24,14,497.69,3,178
56,37,3,7,692.29,1,247
57,29,16,16,809.52,1,120
58,4,10,1,358.57,3,153
59,36,29,5,746.14,1,142
60,14,9,10,415.86,1,341
61,25,11,3,428.09,3,182
62,44,27,1,492.14,3,92
63,26,2,15,102.21,4,345
64,34,2,10,358.2,1,57
65,34,16,4,67.37,2,175
66,39,29,7,931.31,3,226
67,19,18,17,763.41,1,93
68,32,12,18,436.74,3,300
69,45,11,10,274.93,3,11
70,21,21,13,983.37,1,161
71,22,14,6,911.67,3,25
72,32,8,6,532.43,2,351
73,21,3,12,217.43,1,161
74,28,20,7,448.5,4,41
75,28,7,7,984.87,1,10
76,35,19,7,535.18,4,110
77,34,1,19,961.31,4,160
78,42,3,9,650.2,1,95
79,2,15,11,75.27,1,15
80,22,21,14,696.44,2,324
81,44,29,13,288.07,2,360
82,2,30,12,805.45,4,361
83,2,10,19,842.29,2,332
84,15,8,13,741.15,1,315
85,39,26,13,812.54,4,318
86,49,29,12,332.07,1,16
87,44,6,10,333.27,1,82
88,25,1,19,860.13,1,312
89,39,28,19,422.11,3,130
90,2,13,14,97.27,4,154
91,29,7,6,934.2,1,312
92,1,19,8,107.49,1,249
93,38,11,15,778.54,3,282
94,4,2,14,960.79,2,333
95,50,29,12,201.79,2,302
96,11,23,3,229.07,4,1
97,34,26,15,475.94,1,281
98,46,11,15,292.38,4,212
99,45,10,7,412.49,4,104
100,26,25,7,717.58,2,121
101,3,6,13,496.64,2,332
102,22,27,12,134.62,1,319
103,1,27,5,480.06,1,329
104,7,4,5,992.6,1,22
105,17,23,8,55.6,3,15
106,25,18,18,689.58,1,46
107,28,17,4,223.83,2,1
108,48,30,20,724.99,3,126
109,26,25,20,904.88,1,6
110,22,28,5,977.45,3,26
111,11,27,5,926.4,2,143
112,1,22,6,964.25,3,319
113,14,14,4,575.65,2,107
114,38,5,8,50.13,2,310
115,31,2,2,105.6,2,237
116,42,12,3,113.26,3,327
117,31,19,11,858.36,4,253
118,8,10,18,987.84,4,244
119,46,24,12,415.18,1,218
120,43,8,15,751.93,1,296
121,30,13,12,351.82,4,350
122,20,26,13,691.06,4,210
123,16,19,14,420.8,4,245
124,49,2,18,145.02,4,70
125,7,10,14,142.47,4,230
126,6,24,6,313.26,1,351
127,7,12,17,513.47,3,269
128,40,7,6,596.17,3,151
129,8,5,6,510.87,2,181
130,34,21,16,134.94,4,306
131,48,17,18,650.16,2,355
132,24,21,10,510.05,4,173
133,22,15,20,822.16,4,225
134,11,30,20,670.61,3,209
135,34,19,20,664.56,4,73
136,27,3,3,481.33,1,81
137,47,10,20,163.13,3,200
138,25,7,15,160.31,3,122
139,12,30,9,691.24,1,342
140,43,8,15,306.22,4,114
141,35,8,18,296.5,2,220
142,19,18,10,685.2,2,294
143,26,4,1,556.75,4,119
144,35,22,18,66.42,4,130
145,12,20,16,439.46,3,151
146,49,29,4,971.79,3,232
147,39,17,7,396.44,3,200
148,36,7,17,242.37,1,183
149,33,24,18,104.41,1,299
150,42,25,14,842.12,4,98
151,19,8,13,314.45,3,26
152,50,26,6,313.83,2,21
153,45,28,7,116.48,3,33
154,9,1,17,671.17,4,235
155,27,23,7,907.97,4,188
156,16,10,4,113.59,3,269
157,42,10,14,465.33,3,93
158,22,9,11,105.77,2,62
159,17,20,6,311.46,2,233
160,46,13,11,205.17,1,134
161,49,23,19,896.39,1,217
162,1,28,3,368.29,3,323
163,12,20,14,905.76,3,170
164,19,29,2,181.78,4,325
165,32,21,3,917.52,3,110
166,1,6,2,915.06,4,334
167,48,26,9,790.78,1,142
168,19,25,13,186.92,4,46
169,34,27,3,177.26,3,208
170,21,27,1,625.49,2,306
171,19,16,17,177.94,3,151
172,18,13,14,483.57,3,262
173,7,17,10,186.37,4,128
174,46,5,11,372.91,2,284
175,15,2,8,317.01,2,1
176,18,21,6,331.94,1,276
177,29,12,3,524.18,3,10
178,44,26,6,918.76,3,145
179,23,11,3,128.02,4,349
180,36,24,17,631.01,2,128
181,13,1,20,828.82,1,259
182,2,27,13,233.38,4,228
183,28,16,12,978.44,2,298
184,29,24,16,785.75,1,155
185,17,10,16,929.43,4,255
186,46,14,12,395.64,3,61
187,39,12,1,218.07,2,275
188,39,17,12,87.18,2,5
189,37,8,6,347.16,3,261
190,9,17,4,564.51,3,165
191,10,8,14,62.81,1,105
192,33,13,17,256.26,2,25
193,34,26,19,182.99,2,357
194,29,1,7,671.6,4,218
195,46,10,8,148.84,1,220
196,16,7,3,742.47,4,23
197,7,20,5,572.41,3,123
198,26,9,7,354.8,3,361
199,5,27,17,258.14,1,115
200,30,1,19,920.25,3,199
201,5,18,12,258.87,1,265
202,27,22,13,693.38,3,294
203,35,11,5,384.21,1,255
204,5,12,8,324.78,2,12
205,32,10,20,728.86,1,2
206,11,2,20,550.94,1,112
207,38,10,16,303.3,2,7
208,2,3,5,492.76,2,1
209,48,9,20,736.75,4,314
210,46,21,12,994.34,2,66
211,10,23,9,860.69,1,72
212,40,4,1,730.16,4,33
213,31,1,10,734.65,1,221
214,10,9,5,774.47,3,225
215,45,5,2,121.11,2,159
216,20,4,10,735.73,4,245
217,27,5,10,314.13,4,104
218,30,13,6,537.54,3,349
219,38,4,16,275.61,2,58
220,10,9,10,222.78,2,126
221,30,30,8,147.3,4,332
222,45,7,12,271.67,2,91
223,26,4,19,783.98,1,105
224,11,7,8,870.4,2,212
225,5,18,14,586.81,1,224
226,39,2,2,63.63,4,218
227,39,13,2,829.9,3,69
228,43,12,6,87.12,2,274
229,19,2,18,165.34,2,113
230,32,16,3,508.98,3,4
231,49,27,17,517.14,1,49
232,4,2,9,716.2,1,20
233,2,27,8,603,1,212
234,40,22,7,204.46,4,348
235,41,17,2,385.95,3,64
236,45,26,7,791,2,364
237,27,13,19,909.41,3,89
238,18,3,20,486.14,4,1
239,32,15,4,191.58,4,174
240,37,30,7,465.7,1,118
241,32,16,19,738.48,1,211
242,31,6,14,106.24,4,34
243,5,21,2,166.33,3,13
244,16,29,19,624.78,2,95
245,6,9,5,759.31,3,66
246,39,20,2,134.57,1,212
247,4,30,19,453.56,2,244
248,17,13,19,233.2,1,297
249,2,25,3,768.95,3,21
250,15,10,16,436.78,2,157
251,46,19,14,969.42,4,25
252,50,4,15,68.27,2,288
253,36,14,6,638.92,1,119
254,49,5,16,950.34,3,214
255,43,23,9,395.61,3,109
256,25,10,13,168.91,2,199
257,26,30,14,299.2,1,17
258,39,12,4,252.12,4,282
259,9,13,9,79.86,4,87
260,6,8,4,506.8,3,180
261,43,3,13,502.66,4,351
262,41,12,4,901.62,1,205
263,13,15,10,894.78,4,172
264,43,23,13,906.04,2,134
265,11,7,18,166.47,2,216
266,22,27,16,961.76,4,169
267,46,16,12,640.67,2,55
268,6,10,8,305.79,4,361
269,25,9,10,933.6,2,139
270,31,22,20,107.92,4,341
271,25,29,9,452.91,4,101
272,1,1,16,805.4,4,196
273,4,10,4,814.25,2,228
274,10,17,3,845.36,2,188
275,35,4,17,506.78,1,258
276,44,9,2,86.81,2,357
277,11,4,12,655.71,2,100
278,47,24,20,501.76,3,118
279,43,23,9,190.22,3,279
280,20,2,8,63.74,3,170
281,3,24,13,776.59,2,19
282,35,6,3,889.1,2,333
283,23,27,5,289.78,2,213
284,35,4,10,402.79,4,173
285,44,3,6,682.61,2,95
286,17,25,7,299.14,1,169
287,15,6,13,132.64,2,44
288,4,23,7,781.43,1,106
289,19,15,11,477.19,1,259
290,4,15,5,632.21,3,271
291,27,17,18,784.61,1,143
292,48,6,20,815.66,4,117
293,41,8,15,216.36,4,23
294,12,11,10,509.82,1,11
295,37,18,4,306.45,2,2
296,5,27,4,645.77,4,63
297,5,23,19,437.41,3,253
298,5,21,12,274.31,2,125
299,40,29,11,248.61,3,269
300,50,30,6,774.4,3,32
301,47,12,18,988.66,1,70
302,49,21,12,466.91,1,290
303,18,14,2,656.15,4,65
304,38,2,2,148.5,2,167
305,36,18,2,799.21,3,340
306,10,2,1,392.26,3,311
307,28,14,2,852.55,1,253
308,49,30,9,959.4,2,294
309,9,22,9,830.77,2,41
310,27,22,16,936.67,4,330
311,32,8,19,729.78,4,155
312,9,8,11,210.83,2,146
313,24,14,20,809.93,3,252
314,25,20,6,113.69,4,315
315,32,4,12,139.5,2,217
316,25,14,11,628.28,4,5
317,8,20,6,424.75,1,39
318,41,11,12,698.09,2,198
319,14,16,7,694.69,2,81
320,17,19,5,796.16,1,353
321,46,29,8,997.9,2,267
322,14,5,10,752.23,3,15
323,14,21,7,806.98,3,225
324,33,22,1,65.23,4,249
325,26,24,16,259.37,3,306
326,14,2,13,354.7,2,301
327,22,5,19,749.85,3,166
328,11,6,13,841.44,4,86
329,33,23,11,494.8,3,26
330,49,29,13,818.24,2,269
331,43,26,6,398.28,4,356
332,18,30,20,622.12,1,299
333,3,20,4,674.23,3,256
334,24,8,18,630.2,3,69
335,22,23,11,392.11,1,308
336,26,30,16,908.29,4,186
337,17,19,4,768.9,4,176
338,39,13,13,391.74,1,144
339,7,12,16,695.56,2,196
340,18,10,13,744.35,4,73
341,43,2,8,807.82,1,289
342,22,15,1,499.28,4,362
343,20,25,18,496.1,3,95
344,29,26,20,784.98,1,63
345,37,10,19,469.84,2,251
346,40,12,20,256.47,2,350
347,7,1,14,202.87,3,1
348,34,5,4,317.93,3,322
349,34,15,13,897.22,2,20
350,33,22,11,480.32,1,161
351,13,19,2,739.59,1,289
352,35,11,14,952.42,4,315
353,11,11,13,51.25,1,58
354,46,26,13,196.18,3,266
355,34,12,17,540.22,2,114
356,47,30,16,263.83,2,160
357,47,28,19,323.97,4,68
358,41,26,1,453.76,3,148
359,9,2,19,562.61,1,76
360,41,12,5,414.4,4,156
361,20,26,6,70.1,4,24
362,26,15,1,857.61,1,311
363,25,28,12,923.28,1,43
364,19,12,11,992.15,4,139
365,37,25,9,924.44,4,343
366,7,25,12,712.64,2,318
367,27,13,5,951.05,1,328
368,18,30,12,318.34,3,239
369,32,19,3,190.72,4,128
370,36,25,10,768.48,1,212
371,49,21,2,169.11,2,142
372,12,21,11,714.67,3,319
373,13,18,3,577.15,3,312
374,34,24,4,267.45,1,138
375,3,30,2,362.97,1,148
376,25,11,20,622.9,1,280
377,12,9,5,892.18,4,308
378,23,26,8,109.8,3,267
379,3,9,16,834.47,1,312
380,49,28,20,917.98,2,239
381,35,19,20,525.36,2,301
382,22,30,20,951.85,4,240
383,22,8,12,249.69,1,295
384,9,4,7,947.97,2,122
385,45,25,2,436.02,3,31
386,40,16,2,534.42,2,265
387,27,25,2,902.99,3,357
388,37,14,11,692.47,3,88
389,50,20,2,418.56,4,358
390,25,5,16,295.17,3,239
391,36,8,7,947.39,3,160
392,13,13,14,887.78,2,346
393,1,16,17,794.66,2,248
394,17,25,5,883.1,3,335
395,37,4,15,811.98,1,227
396,47,30,13,299.93,4,37
397,27,19,7,892.39,3,37
398,36,20,3,781.62,1,304
399,35,10,4,957.58,3,329
400,25,23,14,575.57,1,94
401,36,20,2,583.25,4,11
402,37,8,19,477.86,4,310
403,32,30,13,200.88,1,91
404,8,9,13,912.32,1,86
405,20,20,15,841.34,2,322
406,2,29,20,299.67,4,331
407,29,20,2,216.28,2,292
408,11,10,11,898.94,4,89
409,37,15,17,390.53,4,23
410,35,25,20,105.37,4,166
411,37,24,5,879.87,2,247
412,30,27,13,678.08,1,11
413,38,28,5,907.12,2,265
414,9,26,18,482.41,2,55
415,5,17,5,321.41,1,306
416,8,28,9,786.74,1,260
417,33,30,9,51.8,1,123
418,10,2,16,700.22,2,80
419,4,9,19,795.24,2,163
420,44,14,4,423.12,3,359
421,50,30,12,237.11,3,180
422,24,23,14,220.1,4,209
423,25,28,7,676.36,2,42
424,17,13,3,91.11,4,153
425,34,20,7,572.74,1,135
426,7,12,6,311.13,2,229
427,28,23,15,639.8,1,238
428,33,13,11,246.29,2,165
429,16,3,8,789.84,2,82
430,37,17,15,96.27,3,126
431,32,1,3,333.34,1,57
432,49,30,16,687.41,1,261
433,49,9,16,857.71,4,179
434,42,25,6,733.45,3,227
435,45,3,16,496.88,1,84
436,46,10,14,510.09,3,182
437,9,10,10,682.55,3,137
438,5,7,9,727.98,4,180
439,46,3,2,925.16,1,216
440,36,19,9,771.37,2,166
441,9,11,8,362.73,4,104
442,37,30,13,822.69,1,365
443,29,25,3,943.73,2,330
444,21,3,13,920.95,4,127
445,26,19,20,51.15,3,147
446,39,29,18,490.94,1,50
447,5,4,2,993.28,4,307
448,43,14,20,903.31,1,69
449,49,23,3,383.48,2,327
450,21,12,12,719.92,3,105
451,8,19,18,87.73,1,167
452,24,18,1,599.44,4,174
453,43,10,19,559.72,4,182
454,33,12,19,985.82,4,315
455,33,8,16,206.43,2,65
456,33,8,16,181.94,1,112
457,2,20,5,981.46,3,236
458,10,26,12,724.82,4,212
459,17,18,4,453.06,3,332
460,48,19,6,420.67,3,202
461,20,25,16,897.99,4,221
462,41,27,2,802.14,1,244
463,9,23,14,467.82,4,281
464,49,30,13,108.08,4,330
465,20,27,4,768.12,3,269
466,16,30,7,488.05,4,211
467,18,29,16,382.14,4,327
468,35,7,19,971.49,1,203
469,21,17,2,442.87,3,80
470,18,2,10,978.48,2,343
471,37,21,9,445.75,4,113
472,22,6,11,752.92,1,218
473,34,28,18,972.35,2,194
474,29,18,5,281.65,3,187
475,48,28,10,143.36,2,343
476,24,9,18,639.09,2,288
477,24,22,20,106.77,2,249
478,50,7,1,542.93,2,291
479,35,16,14,92.54,1,191
480,31,9,16,811.17,2,251
481,37,19,18,885.71,4,22
482,24,27,3,904.97,2,55
483,33,15,11,259.86,2,86
484,31,2,17,667.6,4,76
485,2,3,6,509.27,4,72
486,29,10,12,294.94,1,289
487,36,1,15,980.7,2,260
488,24,17,8,763.16,2,317
489,39,24,1,422.54,1,151
490,44,8,6,664.93,1,95
491,44,14,12,972.89,4,63
492,3,30,5,623.2,4,117
493,41,29,6,211.87,4,68
494,41,7,6,797.34,1,259
495,39,30,12,674.69,2,186
496,12,22,18,174.99,2,160
497,42,29,19,698.05,1,312
498,15,8,16,249.1,3,80
499,19,25,19,690.6,1,292
500,19,27,15,445.06,2,169
